name,name_corrected,alpha_2,alpha_3,country_code,iso_3166_2,island,region,sub_region,intermediate_region,region_code,sub_region_code,intermediate_region_code,airport.n,area.2020,seaport.n,asia.pca_ncell,asia.pca_ncellNA,asia.pca_ncellAVL,bioclim_stack.asia_PC1,bioclim_stack.asia_PC2,bioclim_stack.asia_PC3,bioclim_stack.asia_PC4,bioclim_stack.asia_PC5,bioclim_stack.asia_PC6,bioclim_stack.asia_PC7,wto.member,wto.year,Total_Population_1.July_1k_pop_2016,Total_Population_1.July_1k_pop_2017,Total_Population_1.July_1k_pop_2018,Total_Population_1.July_1k_pop_2019,Total_Population_1.July_1k_pop_2020,Area_km2_pop_2016,Area_km2_pop_2017,Area_km2_pop_2018,Area_km2_pop_2019,Area_km2_pop_2020,population_density_km2_pop_2016,population_density_km2_pop_2017,population_density_km2_pop_2018,population_density_km2_pop_2019,population_density_km2_pop_2020,mean.population_1k,mean.area_km2,mean.population.density_km2,HS_06,HS_07,HS_08,HS_09,HS_10,HS_11,HS_12,HS_13,HS_14,HS_TOTAL,HS_06_cpi2016,HS_07_cpi2016,HS_08_cpi2016,HS_09_cpi2016,HS_10_cpi2016,HS_11_cpi2016,HS_12_cpi2016,HS_13_cpi2016,HS_14_cpi2016,HS_TOTAL_cpi2016,HS_TOTAL.n,years.used,PD.old,SR.old,mpd.obs.old,mntd.obs.old,PD,SR,mpd.obs,mntd.obs,,PD.old2,SR.old2,mpd.obs.old2,mntd.obs.old2,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop.mean,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp.mean,gdp.n,gdp.years.used,gdp_2016_cpi2016,gdp_2017_cpi2016,gdp_2018_cpi2016,gdp_2019_cpi2016,gdp_2020_cpi2016,gdp.mean_cpi2016,wc2.1_10m_bio_1,wc2.1_10m_bio_12,pop.density2020.updated11
Afghanistan,Afghanistan,AF,AFG,4,ISO 3166-2:AF,no,Asia,Southern Asia,NA,142,34,NA,94,652860,NA,307230,304973,2257,1.135532453,-0.557650536,-1.469067362,0.620023892,0.88258819,0.143095972,-0.237830545,yes,2016,34636.21,35643.42,36686.78,37769.5,38972.23,649347.769,649242.623,649323.5398,649295.1693,649320.7264,53.34,54.9,56.5,58.17,60.02,36741.628,649305.9655,56.586,297537.0233,110289581.8,43956349.38,128926355.8,241278301.3,699061485.9,66453431.13,5992668.053,4489883.55,7575336182,283677.4956,106475667.7,41978535.09,124462753,233056038.8,677453508.1,63678169.15,5635574.539,4264681.13,7321749990,3,2017; 2018; 2019,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,34656.033,36296.112,37171.921,38041.756,38928.341,37018.8326,19469021.18,18753469.63,18053228.58,18799450.74,20116137.33,19038261.49,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,19469021.18,18362364.31,17255270.8,17648719.08,18654670.35,18278009.14,11.9,301,59.63
Armenia,Armenia,AM,ARM,51,ISO 3166-2:AM,no,Asia,Western Asia,NA,142,145,NA,NA,29740,NA,307230,307115,115,0.41165854,-1.562912068,0.282517465,-0.247628833,-0.079220572,0.023005592,0.290928477,yes,2003,2865.84,2851.92,2836.56,2820.6,2805.61,28464.83909,28465.11628,28465.2283,28465.03179,28463.12265,100.68,100.19,99.65,99.09,98.57000001,2836.106,28464.66762,99.636,6072008.372,12772210.17,51497121.84,28679076.89,80798544.58,12634344.32,11693498.27,6942188.966,65360.054,4287088301,5763336.46,12168896.31,49050826.28,27548372.11,77434185.19,12067068.95,11202596.68,6638131.615,62387.07892,4101675670,5,2016; 2017; 2018; 2019; 2020,1273.428389,21,184.4393974,94.09977543,1273.43 ,21 ,184.44 ,94.10 ,,1542.54,21,184.44,94.1,2924.816,2944.789,2951.741,2957.728,2963.234,2948.4616,10547331.07,11527458.57,12457941.91,13619291.36,12641209.8,12158646.54,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,10547331.07,11287052.36,11907297.37,12785642.02,11722807.31,11650026.03,6.2,509.8,99.64
Azerbaijan,Azerbaijan,AZ,AZE,31,ISO 3166-2:AZ,no,Asia,Western Asia,NA,142,145,NA,NA,86600,NA,307230,306907,323,-0.080849019,-1.467887268,0.033014286,-0.967658561,0.063720806,0.255855218,0.194725883,no,NA,9976.25,10071.57,10152.52,10232.75,10284.95,82660.12097,82655.47805,82655.0517,82655.49273,82656.5137,120.69,121.85,122.83,123.8,124.43,10143.608,82656.53143,122.72,23033318.82,64899505.82,101129128.9,57883148.89,331180487.3,18553103.22,36049703.73,687759.972,975631.048,10616249775,22068917.3,62156538,96524274.65,55467662.23,317539607.7,17777523,34470585.35,656766.0087,932869.231,10155343203,5,2016; 2017; 2018; 2019; 2020,NA,NA,NA,NA,NA,1 ,NA,NA,,400.79,1,NA,NA,9762.274,9854.033,9939.771,10024.283,10093.121,9934.6964,37847715.84,40865558.91,47112941.18,48174235.29,42693000,43338690.24,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,37847715.84,40013303.95,45030535.93,45225446.06,39591290.73,41541658.5,11.9,457,116.55
Bahrain,Bahrain,BH,BHR,48,ISO 3166-2:BH,yes,Asia,Western Asia,NA,142,145,NA,2,785,4,307230,307228,2,0.09644312,0.584557921,-1.020844519,-0.905916005,0.728538811,0.796625584,0.284497648,yes,1995,1409.66,1456.83,1487.34,1494.19,1477.47,783.0008943,782.9977749,783.0000948,782.9994393,783.0020192,1800.33,1860.58,1899.54,1908.29,1886.93,1465.098,783.0000445,1871.134,11250437.52,116918118.8,172704731.3,43876325.76,107726329,12997420.2,11450432.29,3813308.011,305802.9458,17356734350,10780787.88,112348912.7,165810065.7,42036292.86,103120723.3,12415842.81,10995130.61,3649094.91,293237.8841,16649936499,5,2016; 2017; 2018; 2019; 2020,NA,NA,NA,NA,NA,1 ,NA,NA,,400.79,1,NA,NA,1425.171,1494.077,1569.44,1641.164,1701.583,1566.287,31858509.82,35473776.6,37802005.32,38653318.09,34723357.45,35702193.45,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,31858509.82,34733967.74,36131146.06,36287312.95,32200654.43,34242318.2,26.3,79.5,2167.62
Bangladesh,Bangladesh,BD,BGD,50,ISO 3166-2:BD,no,Asia,Southern Asia,NA,142,34,NA,13,147570,2,307230,306772,458,-1.91591622,1.442680327,1.607212514,-0.455585217,1.082694328,-0.786893361,-0.492790189,yes,1995,159784.57,161793.96,163683.96,165516.22,167420.95,130169.6687,130170.3703,130170.3116,130169.8885,130170.1564,1227.51,1242.94,1257.46,1271.54,1286.17,163639.932,130170.0791,1257.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1919.76 ,29 ,227.63 ,91.21 ,,2184.79,29,227.63,91.21,162951.553,159685.425,161376.709,163046.173,164689.377,162349.8474,221415276.5,293754646.2,321379023.6,351238438.5,373902134.7,312337903.9,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,221415276.5,287628366.2,307173980.4,329738810.8,346737594.4,298538805.7,25.4,2312.5,1116.01
Bhutan,Bhutan,BT,BTN,64,ISO 3166-2:BT,no,Asia,Southern Asia,NA,142,34,NA,2,38390,NA,307230,307104,126,-0.994322067,0.357051866,1.496405588,0.395416381,1.293391897,-0.606561276,0.042012652,no,NA,749.76,756.12,762.1,767.46,772.51,38390.16897,38401.21889,38392.9471,38392.1961,38395.12922,19.53,19.69,19.85,19.99,20.12,761.59,38394.33206,19.836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,982.21 ,12 ,225.44 ,119.44 ,,1247.24,12,225.44,119.44,797.765,745.563,754.396,763.094,771.612,766.486,2236933.12,2450364.928,2446866.405,2535657.069,2315436.303,2397051.565,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,2236933.12,2399262.344,2338714.222,2380447.169,2147216.448,2300514.661,10.6,1399.4,20.1
Brunei Darussalam,Brunei Darussalam,BN,BRN,96,ISO 3166-2:BN,yes,Asia,South-eastern Asia,NA,142,35,NA,2,5770,5,307230,307212,18,-5.923571719,-0.769875546,-0.610431456,1.323922171,-0.717865401,0.047223583,-0.18199655,yes,1995,425.99,430.28,434.27,438.05,441.73,5765.191501,5764.737406,5764.901102,5765.332982,5765.204907,73.89,74.64,75.33,75.98,76.62,434.064,5765.07358,75.292,2063583.379,29158639.94,42116450.92,7583223.297,35663966.64,12978226.16,2301344.933,243309.7974,27824.2152,4074453426,1985995.419,27950515.32,40319197.64,7259114.686,34100325.47,12444772.9,2199572.232,233333.7244,26617.12411,3884681337,5,2016; 2017; 2018; 2019; 2020,501.646417,5,235.0954872,131.784726,501.65 ,5 ,235.10 ,131.78 ,,766.68,5,235.1,131.78,423.196,424.481,428.96,433.296,437.483,429.4832,11400266.75,12128104.86,13567351.18,13469422.96,12005825.77,12514194.3,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,11400266.75,11875172.12,12967670.44,12644947.2,11133584.86,12004328.27,26.7,3434.6,75.82
Cambodia,Cambodia,KH,KHM,116,ISO 3166-2:KH,no,Asia,South-eastern Asia,NA,142,35,NA,9,181040,2,307230,306688,542,-1.956954973,0.902861668,0.05913941,-0.733313466,0.317347971,0.033714552,0.936383874,yes,2004,15624.58,15830.69,16025.24,16207.75,16396.86,181028.6178,181025.6146,181035.2463,181031.4978,181040.742,86.30999999,87.45000002,88.51999999,89.53000001,90.56999998,16017.024,181032.3437,88.476,1673799.864,5284180.104,9407161.882,4957076.53,42608317.4,72170525.94,2737883.25,2525951.282,64385.828,16707320395,1574726.813,5088874.48,9014258.184,4734398.212,40364258.26,68951483.33,2607793.828,2421837.2,61183.39621,15967146505,5,2016; 2017; 2018; 2019; 2020,1961.119147,22,244.7920857,145.2436509,1961.12 ,22 ,244.79 ,145.24 ,,2226.15,22,244.79,145.24,15762.37,16009.413,16249.796,16486.542,16718.971,16245.4184,20016748.54,22177200.51,24571753.58,27089389.79,25872798.01,23945578.09,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,20016748.54,21714692.97,23485675.17,25431223.33,23993101.16,22928288.24,26.8,1791.1,92.35
China,China,CN,CHN,156,ISO 3166-2:CN,no,Asia,Eastern Asia,NA,142,30,NA,218,9600012.9,68,307230,272628,34602,0.60890406,0.07817223,0.826043386,0.244131299,-0.082847062,-0.007745014,0.014197628,yes,2001,1433546.77,1442041.11,1448928.21,1453801.54,1456928.48,9636552.622,9636785.506,9636632.365,9636595.103,9636553.127,148.76137,149.6392245,150.3562816,150.8625738,151.1877184,1447049.222,9636623.745,150.1614337,262738488.4,1888212051,8940988970,792460133.2,6445455897,1160696885,42250427328,313456592,158849181,1.94E+12,333442033.3,2886837087,13538683329,1371209505,7770847576,1572796112,42349427101,406077597.1,182430477.2,2.69E+12,5,2016; 2017; 2018; 2019; 2020,7960.632611,240,235.350416,39.78117299,7960.63 ,240 ,235.35 ,39.78 ,,7970.72,240,235.35,39.78,1410139.851,1427786.266,1434424.323,1439489.368,1442791.554,1430926.272,12107861920,13292903602,14920018981,15309066748,15727465404,14271463331,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,12107861920,13015678883,14260549947,14371984698,14584841899,13668183470,6.5,574,150.29
Cyprus,Cyprus,CY,CYP,196,ISO 3166-2:CY,yes,Asia,Western Asia,NA,142,145,NA,7,9250,6,307230,307211,19,-0.170931481,-0.510826739,-1.212651083,0.268378049,0.618150253,1.011482127,-0.001104151,yes,1995,1197.88,1208.52,1218.83,1228.84,1237.54,9240.049367,9240.155975,9239.860511,9240.09324,9240.200105,129.64,130.79,131.91,132.99,133.93,1218.322,9240.07184,131.852,10916459.38,38374243.09,59994434.18,27089119.26,115815828.3,11282676.88,13606751.51,2123881.51,138464.8186,9180092783,10467110.84,36746421.22,57439002.76,25909035.87,111112372.1,10799441.17,13080800.68,2034564.601,134422.0882,8806501413,5,2016; 2017; 2018; 2019; 2020,2502.088177,23,277.984307,161.6442314,2502.09 ,23 ,277.98 ,161.64 ,,2577.83,23,277.98,161.64,1170.125,1179.685,1189.262,1198.574,1207.361,1189.0014,19801663.49,22870833.71,25522671.23,25758357.78,24692095.95,23729124.43,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,19801663.49,22393860.38,24394561.99,24181665.02,22898178.84,22733985.94,17.3,531.8,130.53
