name_corrected,alpha_3,region,sub_region,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,rgbif.details_speciesKey,isInvasive,GRIIS.scientificName,GRIIS.reportedTaxon,GRIIS.reportedTaxon_rgbif_corrected,GRIIS.habitats,GRIIS.recordIDs
Armenia,ARM,Asia,Western Asia,Acer negundo L.,Acer negundo,L.,Sapindaceae,Acer,Sapindaceae,Acer,Accepted,Acer negundo,Acer negundo L.,Acer_negundo,Acer_negundo,3189866,INVASIVE,Acer negundo L.,Acer negundo L.,Acer negundo L.,TERRESTRIAL,2234
Armenia,ARM,Asia,Western Asia,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,(Mill.) Swingle,Simaroubaceae,Ailanthus,Simaroubaceae,Ailanthus,Accepted,Ailanthus altissima,Ailanthus altissima (Mill.) Swingle,Ailanthus_altissima,Ailanthus_altissima,3190653,INVASIVE,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima (Mill.) Swingle,TERRESTRIAL,4406
Armenia,ARM,Asia,Western Asia,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata,(M.Bieb.) Cavara & Grande,Brassicaceae,Alliaria,Brassicaceae,Alliaria,Accepted,Alliaria petiolata,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria_petiolata,Alliaria_petiolata,5376075,INVASIVE,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata (M.Bieb.) Cavara & Grande,TERRESTRIAL,5171
Armenia,ARM,Asia,Western Asia,Amaranthus retroflexus L.,Amaranthus retroflexus,L.,Amaranthaceae,Amaranthus,Amaranthaceae,Amaranthus,Accepted,Amaranthus retroflexus,Amaranthus retroflexus L.,Amaranthus_retroflexus,Amaranthus_retroflexus,6109534,INVASIVE,Amaranthus retroflexus L.,Amaranthus retroflexus L.,Amaranthus retroflexus L.,TERRESTRIAL,6848
Armenia,ARM,Asia,Western Asia,Ambrosia polystachya DC.,Ambrosia polystachya,DC.,Asteraceae,Ambrosia,Compositae,Ambrosia,Accepted,Ambrosia polystachya,Ambrosia polystachya DC.,Ambrosia_polystachya,Ambrosia_polystachya,3110593,INVASIVE,Ambrosia polystachya DC.,Ambrosia polystachya DC.,Ambrosia polystachya DC.,TERRESTRIAL,7304
Armenia,ARM,Asia,Western Asia,Amorpha fruticosa L.,Amorpha fruticosa,L.,Fabaceae,Amorpha,Leguminosae,Amorpha,Accepted,Amorpha fruticosa,Amorpha fruticosa L.,Amorpha_fruticosa,Amorpha_fruticosa,5357407,INVASIVE,Amorpha fruticosa L.,Amorpha fruticosa L.,Amorpha fruticosa L.,TERRESTRIAL,7637
Armenia,ARM,Asia,Western Asia,Centaurea diffusa Lam.,Centaurea diffusa,Lam.,Asteraceae,Centaurea,Compositae,Centaurea,Accepted,Centaurea diffusa,Centaurea diffusa Lam.,Centaurea_diffusa,Centaurea_diffusa,3128962,INVASIVE,Centaurea diffusa Lam.,Centaurea diffusa Lam.,Centaurea diffusa Lam.,TERRESTRIAL,21301
Armenia,ARM,Asia,Western Asia,Cirsium sorocephalum Fisch. & C.A.Mey.,Cirsium sorocephalum,Fisch. & C.A.Mey.,Asteraceae,Cirsium,Compositae,Cirsium,Accepted,Cirsium sorocephalum,Cirsium sorocephalum Fisch. & C.A.Mey.,Cirsium_sorocephalum,Cirsium_sorocephalum,3113591,INVASIVE,Cirsium sorocephalum Fisch. & C.A.Mey.,Cirsium sorocephalum Fisch. & C.A.Mey.,Cirsium sorocephalum Fisch. & C.A.Mey.,TERRESTRIAL,24534
Armenia,ARM,Asia,Western Asia,Clematis vitalba L.,Clematis vitalba,L.,Ranunculaceae,Clematis,Ranunculaceae,Clematis,Accepted,Clematis vitalba,Clematis vitalba L.,Clematis_vitalba,Clematis_vitalba,3033558,INVASIVE,Clematis vitalba L.,Clematis vitalba L.,Clematis vitalba L.,TERRESTRIAL,25106
Armenia,ARM,Asia,Western Asia,Cota austriaca (Jacq.) Sch.Bip.,Cota austriaca,(Jacq.) Sch.Bip.,Asteraceae,Cota,Compositae,Cota,Accepted,Cota austriaca,Cota austriaca (Jacq.) Sch.Bip.,Cota_austriaca,Cota_austriaca,5390636,INVASIVE,Cota triumfettii J.Gay,Anthemis triumfetti All.,Anthemis triumfetti All.,TERRESTRIAL,9137
