species,genus,family,species.relative,genus.relative,avail.country.status,avail.country.status.SRgreaterthan1,rgbif.details_scientificName02,rgbif.details_canonicalName,rgbif.details_authorship,rgbif.details_family,rgbif.details_genus,TPL_family,TPL_genus,TPL_status,TPL_names,TPL_names.withAuthors,TPL_tip.label,rgbif.tip.label,class
Acer negundo,Acer,Sapindaceae,,,yes,yes,Acer negundo L.,Acer negundo,L.,Sapindaceae,Acer,Sapindaceae,Acer,Accepted,Acer negundo,Acer negundo L.,Acer_negundo,Acer_negundo,Angiosperms
Ailanthus altissima,Ailanthus,Simaroubaceae,,,yes,yes,Ailanthus altissima (Mill.) Swingle,Ailanthus altissima,(Mill.) Swingle,Simaroubaceae,Ailanthus,Simaroubaceae,Ailanthus,Accepted,Ailanthus altissima,Ailanthus altissima (Mill.) Swingle,Ailanthus_altissima,Ailanthus_altissima,Angiosperms
Alliaria petiolata,Alliaria,Brassicaceae,,,yes,yes,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria petiolata,(M.Bieb.) Cavara & Grande,Brassicaceae,Alliaria,Brassicaceae,Alliaria,Accepted,Alliaria petiolata,Alliaria petiolata (M.Bieb.) Cavara & Grande,Alliaria_petiolata,Alliaria_petiolata,Angiosperms
Amaranthus retroflexus,Amaranthus,Amaranthaceae,,,yes,yes,Amaranthus retroflexus L.,Amaranthus retroflexus,L.,Amaranthaceae,Amaranthus,Amaranthaceae,Amaranthus,Accepted,Amaranthus retroflexus,Amaranthus retroflexus L.,Amaranthus_retroflexus,Amaranthus_retroflexus,Angiosperms
Ambrosia polystachya,Ambrosia,Asteraceae,,,yes,yes,Ambrosia polystachya DC.,Ambrosia polystachya,DC.,Asteraceae,Ambrosia,Compositae,Ambrosia,Accepted,Ambrosia polystachya,Ambrosia polystachya DC.,Ambrosia_polystachya,Ambrosia_polystachya,Angiosperms
Amorpha fruticosa,Amorpha,Fabaceae,,,yes,yes,Amorpha fruticosa L.,Amorpha fruticosa,L.,Fabaceae,Amorpha,Leguminosae,Amorpha,Accepted,Amorpha fruticosa,Amorpha fruticosa L.,Amorpha_fruticosa,Amorpha_fruticosa,Angiosperms
Centaurea diffusa,Centaurea,Asteraceae,,,yes,yes,Centaurea diffusa Lam.,Centaurea diffusa,Lam.,Asteraceae,Centaurea,Compositae,Centaurea,Accepted,Centaurea diffusa,Centaurea diffusa Lam.,Centaurea_diffusa,Centaurea_diffusa,Angiosperms
Cirsium sorocephalum,Cirsium,Asteraceae,,,yes,yes,Cirsium sorocephalum Fisch. & C.A.Mey.,Cirsium sorocephalum,Fisch. & C.A.Mey.,Asteraceae,Cirsium,Compositae,Cirsium,Accepted,Cirsium sorocephalum,Cirsium sorocephalum Fisch. & C.A.Mey.,Cirsium_sorocephalum,Cirsium_sorocephalum,Angiosperms
Clematis vitalba,Clematis,Ranunculaceae,,,yes,yes,Clematis vitalba L.,Clematis vitalba,L.,Ranunculaceae,Clematis,Ranunculaceae,Clematis,Accepted,Clematis vitalba,Clematis vitalba L.,Clematis_vitalba,Clematis_vitalba,Angiosperms
Cota austriaca,Cota,Asteraceae,,,yes,yes,Cota austriaca (Jacq.) Sch.Bip.,Cota austriaca,(Jacq.) Sch.Bip.,Asteraceae,Cota,Compositae,Cota,Accepted,Cota austriaca,Cota austriaca (Jacq.) Sch.Bip.,Cota_austriaca,Cota_austriaca,Angiosperms
