"alpha_3","mntd.obs"
"ARM",94.09977542857142
"BGD",91.21140600010344
"BTN",119.44337325
"BRN",131.784726
"KHM",145.24365090909092
"CHN",39.781172991841665
"CYP",161.64423143504348
"GEO",63.705436647058825
"IND",53.395906737447056
"IDN",73.38761720487135
"IRN",127.24452532258064
"IRQ",266.43580499999996
"ISR",57.60713295081967
"JPN",56.42316467976623
"JOR",126.36228580059999
"PRK",77.68142939143478
"KOR",316.0803546
"KGZ",58.95493792307692
"LAO",43.43563941666667
"LBN",234.00420974999997
"MYS",167.9455376
"MDV",141.4207437393913
"MMR",86.5753709305814
"NPL",77.93185577142857
"OMN",161.38584550000002
"PAK",122.90087849999999
"PHL",200.76031438461538
"QAT",247.468474
"SAU",89.51439549999999
"SGP",106.70857964285713
"LKA",99.48578445714286
"SYR",271.516129
"TJK",137.91366242857143
"THA",134.70044390909092
"TLS",65.41377160535293
"TUR",56.448331699430895
"TKM",229.32066400000002
"ARE",255.48435899999998
"UZB",57.178097666666666
"VNM",160.76105231578947
"YEM",69.7459935
