"alpha_3","PD","SR"
"ARM",1273.428389,21
"BGD",1919.759808003,29
"BTN",982.206735,12
"BRN",501.646417,5
"KHM",1961.119147,22
"CHN",7960.632610521,240
"CYP",2502.088177003,23
"GEO",1093.576661,17
"IND",10049.364323528,255
"IDN",9057.321308515,171
"IRN",2809.455183,31
"IRQ",1177.3207869999999,6
"ISR",2761.914714,61
"JPN",10231.104556513,231
"JOR",874.630727003,10
"PRK",1464.869800003,23
"KOR",1006.409722,5
"KGZ",2572.221867,52
"LAO",801.67386,12
"LBN",499.508425,4
"MYS",2247.456311,20
"MDV",2067.128778003,23
"MMR",2698.105934006,43
"NPL",2029.132919,35
"OMN",823.387965,8
"PAK",3054.453038,34
"PHL",1846.895135,13
"QAT",247.468474,2
"SAU",665.609263,8
"SGP",1135.372847,14
"LKA",2700.478714,35
"SYR",271.516129,2
"TJK",1451.302532,14
"THA",2155.147504,22
"TLS",5619.088159022,119
"TUR",6029.056501015,123
"TKM",349.858404,3
"ARE",395.250366,3
"UZB",2522.5087359999998,51
"VNM",2181.940581,19
"YEM",933.646821,16
