"alpha_3","ntaxa","mpd.obs","mpd.rand.mean","mpd.rand.sd","mpd.obs.rank","mpd.obs.z","mpd.obs.p","runs"
"ARM",21,184.43939741904762,254.24226932063672,29.745693641989778,1,-2.3466547037603314,0.001,999
"BGD",29,227.62896529084728,253.10043439515107,25.007204054527588,58,-1.018565252187485,0.058,999
"BTN",12,225.44363819696972,251.81503745241193,36.37924009151396,112,-0.7249024220710363,0.112,999
"BRN",5,235.09548719999998,252.3616895704993,58.249859556233716,361,-0.29641620601386565,0.361,999
"KHM",22,244.7920856883117,254.07361408091683,28.538174197286356,624,-0.3252320323101715,0.624,999
"CHN",240,235.35041595917082,252.86487249460177,7.0273430966118005,3,-2.492329788746968,0.003,999
"CYP",23,277.9843070279288,251.61012939876497,27.543931521105268,790,0.9575313389432042,0.79,999
"GEO",17,228.7667731470588,254.7256090891913,32.49765793301715,109,-0.7987909773571307,0.109,999
"IND",255,234.6573069334603,252.42801399034505,6.965088862345018,2,-2.551397032844415,0.002,999
"IDN",171,271.33156293137597,252.81965244442702,9.095557904682586,968,2.035269378849056,0.968,999
"IRN",31,297.8227778666667,253.52997859486922,24.274747671063913,930,1.8246450950588273,0.93,999
"IRQ",6,417.05404173333335,252.3135823055839,51.920684176456525,967,3.172925435032136,0.967,999
"ISR",61,226.34387841420764,254.001792314143,15.935777867991927,4,-1.7355860585562075,0.004,999
"JPN",231,250.0810360453977,253.9275728662797,7.541427589499654,321,-0.5100542006446815,0.321,999
"JOR",10,224.1006114006,252.29438536565098,41.06820472484137,123,-0.6865109919936945,0.123,999
"PRK",23,227.3965836919605,251.4470399099466,26.361959747389253,56,-0.9123167036308036,0.056,999
"KOR",5,405.54249760000005,253.46058369962083,62.36686263569681,931,2.438505120719867,0.931,999
"KGZ",52,224.6244203250377,253.046092372741,17.70257052915347,5,-1.6055110189165505,0.005,999
"LAO",12,229.14742671212122,252.0669006154936,35.69461432657635,138,-0.6420989366540863,0.138,999
"LBN",4,253.00024216666665,251.20733418669337,66.15839059362182,644.5,0.027100235720457947,0.6445,999
"MYS",20,294.01533218421054,252.13022781425047,28.65850001748978,905,1.4615246556657997,0.905,999
"MDV",23,242.9768914469012,253.0186430766749,27.004032065648712,579,-0.371861194852735,0.579,999
"MMR",43,237.86299378543964,253.14787358397368,19.802235495818106,275,-0.7718764783785114,0.275,999
"NPL",35,216.8027529815126,252.36368229320573,21.50008626807796,2,-1.6539900755882944,0.002,999
"OMN",8,237.27850028571427,251.35640752508118,46.39200969903545,407,-0.3034554297323232,0.407,999
"PAK",34,268.8344389090909,254.21127784938616,22.527251491362748,739,0.6491320552492378,0.739,999
"PHL",13,328.10254535897434,253.79772111111214,38.14863251938249,950,1.9477716327081853,0.95,999
"QAT",2,247.468474,255.6692293374855,108.63310289688279,492,-0.07549039030275939,0.492,999
"SAU",8,225.6914157142857,249.8611329714055,43.53006877108492,173,-0.5552418808300772,0.173,999
"SGP",14,237.97447319780218,254.6748007714796,36.62125576803562,382,-0.4560282607308643,0.382,999
"LKA",35,258.15894745210085,253.30251185356346,21.1713492573242,580,0.22938715617557115,0.58,999
"SYR",2,271.516129,250.5732764045956,103.30498265756493,739.5,0.20272838789224426,0.7395,999
"TJK",14,268.3772360659341,255.35252174545494,36.707185163207775,769,0.3548273795053628,0.769,999
"THA",22,284.4613487705628,252.66192143282348,28.110726747135782,841,1.131220392264649,0.841,999
"TLS",119,240.61821096661387,253.58119417391148,11.620819566548157,128,-1.1154964701984553,0.128,999
"TUR",123,250.82112615351593,254.95138610906108,11.48374305788857,389,-0.35966147402679194,0.389,999
"TKM",3,233.23893600000002,248.54440857368968,77.50972047780279,315,-0.19746520151718044,0.315,999
"ARE",3,263.500244,248.75524789637305,75.53717336687384,819.5,0.19520185157064993,0.8195,999
"UZB",51,229.96674901333333,253.7569643962084,18.212031451318737,36,-1.3062911431087172,0.036,999
"VNM",19,300.558301380117,253.0775312808297,31.077617323370706,933,1.5278124318617314,0.933,999
"YEM",16,190.46033625833334,252.78479098608705,31.40464279633408,1,-1.9845618092821915,0.001,999
