"alpha_3","ntaxa","pd.obs","pd.rand.mean","pd.rand.sd","pd.obs.rank","pd.obs.z","pd.obs.p","runs"
"ARM",21,1542.535345,2124.0002477523135,235.8562631189099,2,-2.4653358577938658,0.002,999
"BGD",29,2184.7893990029997,2616.658269463158,256.4588091527396,28,-1.6839697255357264,0.028,999
"BTN",12,1247.236326,1455.4340170964444,162.0532388808552,72,-1.2847487192126756,0.072,999
"BRN",5,766.6760080000001,850.0472623506727,96.31851459724884,130,-0.8655786968817507,0.13,999
"KHM",22,2226.1487380000003,2173.873661969443,234.80300341765476,620,0.22263376221629094,0.62,999
"CHN",240,7970.717726521,11007.170539358249,448.48236731273244,1,-6.770506566470854,0.001,999
"CYP",23,2577.825805003,2223.532264060226,246.7373363155681,911,1.4359137787304517,0.911,999
"GEO",17,1358.606252,1839.524201236154,206.93123626912936,4,-2.3240471468052544,0.004,999
"IND",255,10059.449439528,11481.858976283907,454.95315453730194,1,-3.126496700968106,0.001,999
"IDN",171,9067.406424515,8791.36993647095,455.66672238834695,730,0.6057859274805569,0.73,999
"IRN",31,2819.5402990000002,2743.251082956063,283.38109944587166,634,0.26921067140015553,0.634,999
"IRQ",6,1187.4059029999999,943.6738844859209,105.61000378737614,956,2.307849727993409,0.956,999
"ISR",61,3026.944305,4381.733735448855,353.5353040609719,1,-3.832119210971937,0.001,999
"JPN",231,10231.104556513,10833.194751792473,455.94130370317055,90,-1.3205432155176013,0.09,999
"JOR",10,1151.6841460029998,1294.3306083265866,151.29187446994186,161,-0.9428560709116423,0.161,999
"PRK",23,1729.899391003,2224.955603860318,222.24365828858157,10,-2.2275380844140527,0.01,999
"KOR",5,1082.14735,847.4892280933964,100.4764175695443,944,2.3354547025344132,0.944,999
"KGZ",52,2837.251458,3912.240827906075,336.6018714591174,1,-3.1936523859661303,0.001,999
"LAO",12,1066.703451,1457.3851947296257,158.44759282453822,2,-2.4656843109144546,0.002,999
"LBN",4,764.538016,744.1022315564364,82.53288913489091,650.5,0.24760776773685333,0.6505,999
"MYS",20,2257.541427,2035.3530079144925,222.35111209852423,842,0.9992683058272964,0.842,999
"MDV",23,2332.0042470030003,2240.253937131374,237.61431077733198,665,0.3861312459315852,0.665,999
"MMR",43,2963.135525006,3431.125285725056,311.6693206081575,49,-1.5015586385142814,0.049,999
"NPL",35,2294.16251,2965.955346523985,274.66257302841655,1,-2.4458841593043745,0.001,999
"OMN",8,1088.4175559999999,1122.584575371024,130.2023180904557,420,-0.26241483156457407,0.42,999
"PAK",34,3064.5381540000003,2928.3837366101993,284.6842267477875,679,0.4782647038271823,0.679,999
"PHL",13,1856.980251,1538.5064674192593,184.38263014420025,926,1.7272439563947628,0.926,999
"QAT",2,524.521893,528.6222704185666,54.31655142321015,516,-0.07549038573193484,0.516,999
"SAU",8,934.7162190000001,1118.4247391763413,127.77237007443243,45,-1.4377797020539238,0.045,999
"SGP",14,1400.402438,1625.5258036881712,188.84711800095008,87,-1.1920932025398374,0.087,999
"LKA",35,2710.56383,2989.328017127088,281.49964610314896,153,-0.9902825491472959,0.153,999
"SYR",2,536.54572,526.0742939441351,51.652491309750665,742.5,0.20272838328493423,0.7425,999
"TJK",14,1461.387648,1628.1788890102212,189.87392673759103,177,-0.878431514405501,0.177,999
"THA",22,2165.23262,2167.795356897841,233.40295691058716,560,-0.010979881882226936,0.56,999
"TLS",119,5629.173275022,6902.860923801923,414.12427119222247,2,-3.075617000455209,0.002,999
"TUR",123,6104.794129015,7159.341701887193,416.8849553793807,5,-2.529588941180465,0.005,999
"TKM",3,632.067456,636.07150435603,69.19497122951547,418,-0.057866175603265,0.418,999
"ARE",3,660.279957,637.1034517754905,66.65293380764204,812.5,0.3477192060501947,0.8125,999
"UZB",51,2787.5383269999998,3872.9718405185877,343.23240929933286,1,-3.1623864300412894,0.001,999
"VNM",19,2192.025697,1980.5581177865565,221.61939801573195,829,0.9541925531195252,0.829,999
"YEM",16,1202.753777,1761.53270402085,189.92104454320588,1,-2.942164352375027,0.001,999
