name,name_corrected,alpha_2,alpha_3,country_code,iso_3166_2,region,sub_region,intermediate_region,region_code,sub_region_code,intermediate_region_code,airport.n,airport_souce,area.2020,area_souce,seaport.n,seaport_souce,GADM.clim_ncell,GADM.clim_ncellNA,GADM.clim_ncellAVL,wc2.1_10m_bio_1,wc2.1_10m_bio_12,clim_souce,wto.member,wto.year,wto_souce,Total_Population_1.July_1k_pop_2016,Total_Population_1.July_1k_pop_2017,Total_Population_1.July_1k_pop_2018,Total_Population_1.July_1k_pop_2019,Total_Population_1.July_1k_pop_2020,Area_km2_pop_2016,Area_km2_pop_2017,Area_km2_pop_2018,Area_km2_pop_2019,Area_km2_pop_2020,population_density_km2_pop_2016,population_density_km2_pop_2017,population_density_km2_pop_2018,population_density_km2_pop_2019,population_density_km2_pop_2020,mean.population_1k,mean.area_km2,mean.population.density_km2,population_souce,HS_06,HS_07,HS_08,HS_12,HS_TOTAL,HS_06_cpi2016,HS_07_cpi2016,HS_08_cpi2016,HS_12_cpi2016,HS_TOTAL_cpi2016,HS_TOTAL.n,years.used,trade_souce,pop_2016,pop_2017,pop_2018,pop_2019,pop_2020,pop.mean,Pop.and.GDP.source,gdp_2016,gdp_2017,gdp_2018,gdp_2019,gdp_2020,gdp.mean,gdp.n,gdp.years.used,gdp_2016_cpi2016,gdp_2017_cpi2016,gdp_2018_cpi2016,gdp_2019_cpi2016,gdp_2020_cpi2016,gdp.mean_cpi2016,island,island.source,HS_06_n_importers_avg,HS_07_n_importers_avg,HS_08_n_importers_avg,HS_12_n_importers_avg,HS_TOTAL_n_importers_avg,HS_06_shannon_avg,HS_07_shannon_avg,HS_08_shannon_avg,HS_12_shannon_avg,HS_TOTAL_shannon_avg,HS_06_simpson_avg,HS_07_simpson_avg,HS_08_simpson_avg,HS_12_simpson_avg,HS_TOTAL_simpson_avg,HS_06_evenness_avg,HS_07_evenness_avg,HS_08_evenness_avg,HS_12_evenness_avg,HS_TOTAL_evenness_avg,HS_06_total_trade_cpi2016_avg,HS_07_total_trade_cpi2016_avg,HS_08_total_trade_cpi2016_avg,HS_12_total_trade_cpi2016_avg,HS_TOTAL_total_trade_cpi2016_avg,Observed_SR,Observed_PD,Observed_MPD,Observed_MNTD,Null_mean_PD,Null_mean_MPD,Null_mean_MNTD,Null_sd_PD,Null_sd_MPD,Null_sd_MNTD,SES_PD,SES_MPD,SES_MNTD,P_value_PD,P_value_MPD,P_value_MNTD,n_rand
Afghanistan,Afghanistan,AF,AFG,4,ISO 3166-2:AF,Asia,Southern Asia,NA,142,34,NA,94,Global Airport Database,652860,the Food and Agriculture Organization (FAO) of the United Nations,NA,NA,2332800,2330543,2257,11.89930428,301.0474081,WorldClim_v2.1 10 mins,yes,2016,World Trade Organization,34636.21,35643.42,36686.78,37769.5,38972.23,649347.769,649242.623,649323.5398,649295.1693,649320.7264,53.34,54.9,56.5,58.17,60.02,36741.628,649305.9655,56.586,World Trade Organization,297537.0233,110289581.8,43956349.38,66453431.14,7575336182,283677.4956,106475667.8,41978535.09,63678169.15,7321749990,3,2017; 2018; 2019,UN Comtrade,34656.033,36296.112,37171.921,38041.756,38928.341,37018.8326,Gravity database,19469021.18,18753469.63,18053228.58,18799450.74,20116137.33,19038261.49,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,19469021.18,18362364.31,17255270.8,17648719.08,18654670.35,18278009.14,NA,NA,6,25.75,14.25,14.75,93.75,1.135806931,1.569113385,1.009189685,1.224938013,2.595759841,0.622094424,0.725016822,0.497682508,0.548457735,0.894582829,0.647741629,0.482409656,0.38177125,0.664437526,0.572862948,272955.4358,106473424.4,41975740.23,63678161.41,7243488913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
?land Islands,Aland Islands,AX,ALA,248,ISO 3166-2:AX,Europe,Northern Europe,NA,150,154,NA,NA,NA,NA,NA,NA,NA,2332800,2332788,12,5.632899364,567.3333333,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,NA,NA,NA,NA,NA,NA,Gravity database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albania,Albania,AL,ALB,8,ISO 3166-2:AL,Europe,Southern Europe,NA,150,39,NA,1,Global Airport Database,28750,the Food and Agriculture Organization (FAO) of the United Nations,3,Maritime Safety Information,2332800,2332690,110,11.67624518,1123.045455,WorldClim_v2.1 10 mins,yes,2000,World Trade Organization,2881.06,2879.36,2877.01,2873.88,2866.85,27396.91898,27398.99134,27397.48595,27398.98942,27397.26682,105.16,105.09,105.01,104.89,104.64,2875.632,27397.9305,104.958,World Trade Organization,8233524.597,20917811.39,60015718.02,10866764.8,5444685124,7893004.858,20049967.32,57495055.49,10417870.2,5219133387,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,2876.101,2873.457,2866.376,2854.191,2837.849,2861.5948,Gravity database,11926892.54,13019689.34,15156432.31,15401830.75,15131866.27,14127342.24,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,11926892.54,12748162.53,14486513.74,14459070.53,14032513.92,13530630.65,no,https://wikimili.com/en/Island_country,35,47,67.4,61.8,175.6,1.732714071,2.335572033,2.043144889,3.062803761,2.962132427,0.717189396,0.861680917,0.784301205,0.92567327,0.889576971,0.488754789,0.607721528,0.486108814,0.742698541,0.573146739,7884867.228,19968853.95,57428454.32,10052876.9,5164944856,2,536.54572,271.516129,271.516129,278.3661814,278.1011518,278.1011518,132.1582793,131.9055119,131.9055119,1.953563105,-0.049922272,-0.049922272,0.077,0.343,0.343,999
Algeria,Algeria,DZ,DZA,12,ISO 3166-2:DZ,Africa,Northern Africa,NA,2,15,NA,49,Global Airport Database,2381741,the Food and Agriculture Organization (FAO) of the United Nations,17,Maritime Safety Information,2332800,2325140,7660,23.14737293,79.92558747,WorldClim_v2.1 10 mins,no,NA,World Trade Organization,40339.33,41136.55,41927.01,42705.37,43451.67,2381306.375,2381965.837,2382216.477,2381783.045,2382218.75,16.94,17.27,17.6,17.93,18.24,41911.986,2381898.097,17.596,World Trade Organization,19286152.4,403663348.4,245049025.3,169872687.6,46571849788,19049766.59,398966327.1,243218627.5,168078467.9,46091629859,2,2016; 2017,UN Comtrade,40606.052,41389.175,42228.416,43053.055,43851.044,42225.5484,Gravity database,156079603.7,170097014.6,174910878.6,171767403.7,145009181.5,163572816.4,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,156079603.7,166549625.8,167179768.6,161253363.1,134474051.1,157107282.5,no,NA,20,40,37,56.5,170,1.606281546,2.513253698,2.018695046,2.594753517,3.245039277,0.711925486,0.89172727,0.777536727,0.886087697,0.930277122,0.536189953,0.681305456,0.559053153,0.643402557,0.631862991,19049766.59,398966327,243218628.5,168019445.5,45966646682,3,660.279958,263.5002447,255.4843593,401.2200188,267.3033261,239.4723045,142.8876456,95.10150223,66.68191431,1.813032458,-0.039989709,0.240125902,0.084,0.17,0.167,999
American Samoa,American Samoa,AS,ASM,16,ISO 3166-2:AS,Oceania,Polynesia,NA,9,61,NA,NA,NA,200,the Food and Agriculture Organization (FAO) of the United Nations,1,Maritime Safety Information,2332800,2332800,0,NA,NA,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,50.45,49.46,48.42,47.32,46.19,200.007929,199.9838266,199.9834793,200,200,252.2399999,247.32,242.12,236.6,230.95,48.368,199.995047,241.846,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,55.599,55.617,55.461,55.312,55.197,55.4372,Gravity database,NA,612000,639000,648000,709000,652000,4,gdp_2017; gdp_2018; gdp_2019; gdp_2020,NA,599236.6841,610756.0203,608335.3243,657490.1067,618954.5338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,Andorra,AD,AND,20,ISO 3166-2:AD,Europe,Southern Europe,NA,150,39,NA,NA,NA,470,the Food and Agriculture Organization (FAO) of the United Nations,NA,NA,2332800,2332798,2,3.243656158,1363,WorldClim_v2.1 10 mins,no,NA,World Trade Organization,72.54,73.84,75.01,76.34,77.7,470.0012958,470.0190961,469.9874687,469.9870714,469.9975805,154.34,157.1,159.6,162.43,165.32,75.086,469.9985025,159.758,World Trade Organization,1649251.365,13919467.65,8173477.907,501719.5194,1495215892,1583139.909,13335684.52,7828742.366,481131.1043,1434258344,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,77.281,76.997,77.008,77.146,77.265,77.1394,Gravity database,NA,3000162.081,3218419.897,3155149.348,2891001.149,3066183.119,4,gdp_2017; gdp_2018; gdp_2019; gdp_2020,NA,2937593.427,3076164.833,2962019.756,2680965.661,2914185.919,NA,NA,6,14.6,13,6.8,132.2,0.390053965,0.189954424,0.072577235,0.232903497,1.424269097,0.195613612,0.08471111,0.026828324,0.099815524,0.529952863,0.220513463,0.078899279,0.029788843,0.133689007,0.291694129,1583139.909,13335684.52,7828515.488,480864.4081,1417242003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Angola,Angola,AO,AGO,24,ISO 3166-2:AO,Africa,Sub-Saharan Africa,Middle Africa,2,202,17,35,Global Airport Database,1246700,the Food and Agriculture Organization (FAO) of the United Nations,21,Maritime Safety Information,2332800,2329073,3727,21.59349177,1026.147303,WorldClim_v2.1 10 mins,yes,1996,World Trade Organization,29154.75,30208.63,31273.53,32353.59,33428.49,1246462.163,1246744.944,1246453.966,1246766.474,1246866.468,23.39000001,24.23000001,25.08999999,25.95,26.80999999,31283.798,1246658.803,25.094,World Trade Organization,2087115.323,85338777.96,22256082.32,12939101.42,13823300138,2017844.249,82340646.01,21521670.81,12406600.93,13310700778,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,28813.463,29816.769,30809.788,31825.298,32866.268,30826.3172,Gravity database,89633153.02,68972763.79,77792940.08,69309104.81,53619071.18,71865406.57,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,89633153.02,67534330.5,74354470.25,65066630.78,49723566.75,69262430.26,no,NA,25.6,38,33.8,37.8,174.8,1.815012222,1.64040496,1.254499549,2.084254683,3.194265326,0.757510719,0.659233083,0.578174507,0.821954518,0.931982358,0.56272856,0.452050474,0.357161843,0.574936401,0.618860911,2017819.097,82333207,21519576.77,12359454.26,13261006366,18,1957.077432,276.9317759,157.6543863,1910.559756,269.0139338,164.4822274,306.3532959,37.63659818,27.80754485,0.151843236,0.210376137,-0.245539157,0.394,0.4,0.563,999
Anguilla,Anguilla,AI,AIA,660,ISO 3166-2:AI,Americas,Latin America and the Caribbean,Caribbean,19,419,29,1,Global Airport Database,NA,NA,NA,NA,2332800,2332800,0,NA,NA,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,14.81,15.02,15.18,15.38,15.59,87.97671379,88.02672449,87.99489885,88.00137323,88.02936194,168.34,170.63,172.51,174.77,177.1,15.196,88.00581446,172.67,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,NA,NA,NA,NA,NA,NA,Gravity database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antarctica,Antarctica,AQ,ATA,10,ISO 3166-2:AQ,NA,NA,NA,NA,NA,NA,3,Global Airport Database,NA,NA,8,Maritime Safety Information,2332800,2114960,217840,-37.19950638,112.106771,WorldClim_v2.1 10 mins,NA,NA,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,World Trade Organization,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UN Comtrade,NA,NA,NA,NA,NA,NA,Gravity database,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua and Barbuda,Antigua and Barbuda,AG,ATG,28,ISO 3166-2:AG,Americas,Latin America and the Caribbean,Caribbean,19,419,29,3,Global Airport Database,440,the Food and Agriculture Organization (FAO) of the United Nations,1,Maritime Safety Information,2332800,2332798,2,26.63705063,1026.5,WorldClim_v2.1 10 mins,yes,1995,World Trade Organization,90.56,91.12,91.63,92.12,92.66,439.9747364,440.0019315,440.0211295,440.0076423,439.9810066,205.83,207.09,208.24,209.36,210.6,91.618,439.9972893,208.224,World Trade Organization,1160111.137,9207002.757,6685894.316,393381.56,551190473.3,1108614.21,8816634.76,6395285.86,376507.9022,529336675.4,5,2016; 2017; 2018; 2019; 2020,UN Comtrade,100.963,95.425,96.282,97.115,97.928,97.5426,Gravity database,1449160.192,1467977.778,1605944.444,1687533.333,1370281.481,1516179.446,5,gdp_2016; gdp_2017; gdp_2018; gdp_2019; gdp_2020,1449160.192,1437362.967,1534961.248,1584237.866,1270728.515,1455290.158,yes,https://wikimili.com/en/List_of_island_countries,9.6,39,36.2,23,145.2,0.283968073,0.966472965,1.404943714,0.684863836,2.394563558,0.106978754,0.360831383,0.58475924,0.2555156,0.733703359,0.1273101,0.265219896,0.395316165,0.217400675,0.481387798,1103885.113,8813787.177,6393027.089,374505.8994,479070528.2,4,758.886061,241.3818275,236.9419853,527.2864986,269.3428097,229.4525645,160.9426942,80.61854696,56.20125433,1.439018798,-0.34683064,0.133260741,0.113,0.611,0.411,999
